Country, Rank, City, Population, Cost of Living
Switzerland,100,$810,FrankfurtGermany   Population  759K     Cost of living  $1890
Honduras,101,$729,
Togo,102,$719,
Sierra Leone,103,$923,
Serbia,104,$786,
Bulgaria,105,$865,
Laos,106,$566,
Paraguay,107,$556,
Kyrgyzstan,108,$429,
Libya,109,$1234,
Turkmenistan,110,$1243,
Lebanon,111,$3408,
Singapore,112,$1922,
Denmark,113,$931,
El Salvador,114,$1580,
Finland,115,$1964,
Norway,116,$1091,
Slovakia,117,$560,
Congo,118,$877,
Palestine,119,$524,
Liberia,120,$1073,
Costa Rica,121,$642,
Nicaragua,122,$2343,
Ireland,123,$1876,
New Zealand,124,$1115,
Oman,125,$514,
Central African Republic,126,$717,
Mauritania,127,$1379,
Kuwait,128,$1229,
Panama,129,$1074,
Croatia,130,$655,
Bosnia and Herzegovina,131,$1093,
Georgia,132,$518,
Eritrea,133,$1196,
Uruguay,134,$703,
Mongolia,135,$1145,
Armenia,136,$1107,
Lithuania,137,$792,
Albania,138,$1008,
Jamaica,139,$610,
Gambia,140,$1939,
Qatar,141,$640,
Moldova,142,$720,
Namibia,143,$592,
Botswana,144,$586,
Lesotho,145,$1230,
Slovenia,146,$648,
Gabon,147,$1002,
Latvia,148,$778,
Guinea-Bissau,149,$629,
North Macedonia,150,$1077,
Bahrain,151,$1103,
Trinidad and Tobago,152,$1224,
Estonia,153,$523,
East Timor,154,$1183,
Equatorial Guinea,155,$709,
Mauritius,156,$547,
Eswatini,157,$1530,
Cyprus,158,$550,
Djibouti,159,$770,
Fiji,160,$548,
Comoros,161,$409,
Bhutan,162,$854,
Guyana,163,$2271,
Luxembourg,164,$861,
Montenegro,165,$1483,
Solomon Islands,166,$920,
Suriname,167,$760,
Cape Verde,168,$1471,
Malta,169,$1215,
Maldives,170,$1096,
Brunei,171,$2111,
Bahamas,172,$869,
Belize,173,$2457,
Iceland,174,$1343,
Barbados,175,$2010,
Vanuatu,176,$878,
Sao Tome and Principe,177,$971,
Samoa,178,$1101,
Saint Lucia,179,$1339,
Curacao,180,$507,
Kiribati,181,$969,
Saint Vincent,182,$900,
Tonga,183,$1074,
Grenada,184,$1585,
Seychelles,185,$1573,
Antigua and Barbuda,186,$1336,
Andorra,187,$876,
Dominica,188,$3255,
Cayman Islands,189,$1196,
Saint Kitts and Nevis,190,$1557,
Marshall Islands,191,$3955,
Monaco,192,$2326,
Liechtenstein,193,$1268,
San Marino,194,$1161,
Palau,195,$709,
Nauru,196,$564,
Tuvalu,197,$869,
Vatican,,,
